1,Shai Gilgeous-Alexander,Okc,*,G,26.7,75,34.1,34.9,10,658,0.9,1204,0.571,426,0.371,0.567,0.636,32.6,5,6.4,1.7,1,2.4,37.5,38.9,43.9,11.9,128.6,106.1
2,Giannis Antetokounmpo,Mil,*,F,30.3,64,34.2,35.4,13.8,675,0.618,1208,0.621,57,0.211,0.607,0.625,30.5,11.9,6.3,0.9,1.2,3.2,42.4,36.8,48.7,15.4,121.8,105
3,Nikola Jokic,Den,*,C,30.1,67,36.7,29.9,14.4,432,0.803,1000,0.629,322,0.416,0.628,0.664,30,12.8,10.2,1.8,0.7,3.3,42.7,40.2,53,17.2,132.7,108.2
4,Luka Doncic,Dal,,F-G,26.1,22,35.7,33.2,13.9,146,0.767,254,0.555,212,0.354,0.544,0.584,28.1,8.3,7.8,2,0.4,3.4,36.5,36,44.3,13.7,115.2,108
5,Anthony Edwards,Min,*,G,23.7,75,36.3,31.4,13.6,473,0.835,760,0.495,764,0.397,0.545,0.593,27.4,5.7,4.6,1.1,0.6,3.2,33.1,32,37.7,9.9,114.3,109.9
6,Luka Doncic,Lal,*,F-G,26.1,25,35.4,34.2,15.9,219,0.808,254,0.48,243,0.358,0.508,0.575,27.3,8.3,7.7,1.6,0.4,3.8,35.6,35,43.3,13.6,113.9,107.3
7,Jayson Tatum,Bos,*,F-G,27.1,70,36.3,31.4,12.7,431,0.814,719,0.559,707,0.344,0.538,0.583,26.9,8.7,6,1.1,0.5,3,35.6,32.9,41.6,12.3,117,106.1
8,Kevin Durant,Pho,*,F,36.5,62,36.5,28.7,14.5,361,0.839,752,0.574,372,0.43,0.598,0.642,26.6,6,4.2,0.8,1.2,3.1,32.6,30.8,36.8,9.6,117,117.9
9,Tyrese Maxey,Phi,*,G,24.4,52,37.7,29.9,10.2,289,0.879,613,0.515,478,0.337,0.511,0.562,26.3,3.3,6.1,1.8,0.4,2.4,29.7,32.4,35.8,8.6,114.2,116.9
10,Jalen Brunson,Nyk,*,G,28.6,62,35.4,29.5,12,434,0.825,778,0.54,369,0.382,0.551,0.606,26.1,3,7.4,1,0.1,2.5,29.1,33.5,36.5,9.4,123.3,113.5
11,Paolo Banchero,Orl,*,F,22.4,44,34.4,33.6,13.2,373,0.729,610,0.51,260,0.319,0.501,0.553,26,7.5,4.8,0.8,0.6,3,33.5,30.7,38.3,11.4,109.2,106.8
12,Cade Cunningham,Det,*,G,23.5,68,35,33.1,17.6,362,0.851,1004,0.507,408,0.353,0.513,0.559,25.9,6.1,9.1,1,0.7,4.4,32,34.9,41.1,12.9,110.7,108.4
13,Devin Booker,Pho,*,G,28.4,72,37.5,29.2,13.2,471,0.896,831,0.539,540,0.337,0.526,0.591,25.9,4.1,7,0.9,0.2,2.9,30,32.9,37,9.7,119,117.2
14,Anthony Davis,Lal,,F-C,32.1,42,34.3,30.3,10.9,321,0.788,663,0.561,94,0.298,0.547,0.602,25.7,11.9,3.4,1.3,2.1,2.2,37.6,29.1,41,11.8,120.4,107.3
