RANK,NAME,TEAM,POS,AGE,GP,MPG,USG,TO,FTA,FT,2PA,2PP,3PA,3PP,eFG,TS,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg,win
1,Joel Embiid,Phi,C-F,29.1,66.0,34.6,37.0,14.5,771.0,0.857,1128.0,0.587,200.0,0.33,0.573,0.655,33.1,10.2,4.2,1.0,1.7,3.4,43.2,37.2,47.4,13.0,124.4,104.1,0.659
2,Luka Doncic,Dal,F-G,24.1,66.0,36.2,37.7,14.0,694.0,0.742,908.0,0.588,541.0,0.342,0.56,0.609,32.4,8.6,8.0,1.4,0.5,3.6,41.0,40.4,49.0,14.4,120.0,109.2,0.463
3,Damian Lillard,Por,G,32.7,58.0,36.3,33.8,13.7,558.0,0.914,544.0,0.574,658.0,0.371,0.564,0.645,32.2,4.8,7.3,0.9,0.3,3.3,36.9,39.5,44.3,11.5,126.4,117.6,0.402
4,Shai Gilgeous-Alexander,Okc,G-F,24.7,68.0,35.5,32.8,12.2,739.0,0.905,1213.0,0.533,168.0,0.345,0.531,0.626,31.4,4.8,5.5,1.6,1.0,2.8,36.2,36.9,41.7,10.6,124.9,109.8,0.488
5,Giannis Antetokounmpo,Mil,F,28.3,63.0,32.1,38.8,16.2,772.0,0.645,1108.0,0.596,171.0,0.275,0.571,0.605,31.1,11.8,5.7,0.8,0.8,3.9,42.9,36.8,48.6,15.9,116.8,100.6,0.707
6,Jayson Tatum,Bos,F-G,25.1,74.0,36.9,32.7,12.0,622.0,0.854,873.0,0.558,686.0,0.35,0.543,0.607,30.1,8.8,4.6,1.1,0.7,2.9,38.8,34.7,43.5,11.6,118.6,106.7,0.695
7,Kevin Durant,Bro,F,34.5,39.0,36.0,31.5,15.6,285.0,0.937,545.0,0.622,189.0,0.376,0.607,0.674,29.7,6.7,5.3,0.8,1.5,3.5,36.4,35.0,41.7,11.3,122.3,110.5,0.549
8,Stephen Curry,Gol,G,35.1,56.0,34.7,31.0,13.6,281.0,0.915,494.0,0.579,639.0,0.427,0.614,0.656,29.4,6.1,6.3,0.9,0.4,3.2,35.5,35.7,41.8,12.0,123.4,112.1,0.537
9,LeBron James,Lal,F,38.3,55.0,35.5,33.3,12.7,327.0,0.768,841.0,0.58,377.0,0.321,0.55,0.584,28.9,8.3,6.8,0.9,0.6,3.2,37.2,35.7,44.0,13.3,114.5,110.3,0.524
10,Donovan Mitchell,Cle,G,26.6,68.0,35.8,32.1,11.4,368.0,0.867,767.0,0.566,635.0,0.386,0.572,0.614,28.3,4.3,4.4,1.5,0.4,2.6,32.5,32.7,36.9,9.1,118.7,107.2,0.622
11,Devin Booker,Pho,G,26.4,53.0,34.6,31.8,12.0,358.0,0.855,751.0,0.554,316.0,0.351,0.546,0.601,27.8,4.5,5.5,1.0,0.3,2.7,32.3,33.3,37.8,10.2,118.8,109.0,0.549
12,Kyrie Irving,Bro,G,31.0,40.0,36.9,29.7,10.0,179.0,0.883,471.0,0.569,348.0,0.374,0.565,0.604,27.1,5.1,5.3,1.0,0.8,2.3,32.2,32.4,37.5,9.8,118.0,111.5,0.549
13,Kyrie Irving,Dal,G,31.0,20.0,38.1,27.4,8.8,94.0,0.947,236.0,0.585,148.0,0.392,0.586,0.634,27.0,5.0,6.0,1.3,0.6,1.9,32.0,33.0,38.0,9.8,127.7,112.3,0.463
14,Jaylen Brown,Bos,G-F,26.5,67.0,35.9,31.5,12.5,344.0,0.765,896.0,0.576,487.0,0.335,0.55,0.581,26.6,6.9,3.5,1.1,0.4,2.9,33.5,30.1,36.9,9.6,109.8,106.5,0.695
15,Trae Young,Atl,G,24.6,73.0,34.8,32.6,17.7,639.0,0.886,930.0,0.476,460.0,0.335,0.485,0.573,26.2,3.0,10.2,1.1,0.1,4.1,29.2,36.4,39.3,10.7,116.2,117.5,0.5
16,Ja Morant,Mem,G,23.7,61.0,31.9,34.9,14.5,497.0,0.748,914.0,0.519,300.0,0.307,0.504,0.557,26.2,5.9,8.1,1.1,0.3,3.4,32.0,34.2,40.1,13.5,114.2,109.6,0.622
